SampleID,W1_m,W2_m,R_m,t_m,Mass_kg,MaxVonMisesStress_MPa,AbaqusRuntime_s
76,0.37760702,0.13168092,0.03910059,0.01699016,23.04228465,49.608848,17.74300003
77,0.38949333,0.12966734,0.05858998,0.01335023,19.55519365,53.082936,19.56499982
78,0.41772759,0.10924169,0.06673186,0.01032469,18.2333784,56.567288,19.91299987
79,0.59814635,0.12115793,0.06614228,0.01453637,54.01159427,39.286984,35.20300007
80,0.61193693,0.11472806,0.0611074,0.01566394,61.25759067,36.22898,31.1170001
81,0.49388268,0.11847024,0.03896707,0.01417762,35.24948429,49.352232,26.204
82,0.35950406,0.11262035,0.05117225,0.01851982,23.42599907,36.898148,17.54399991
83,0.63320402,0.11190573,0.06478855,0.01777269,74.72903254,30.881364,37.23500013
84,0.56738868,0.13922827,0.05122123,0.01181232,38.66846853,57.794652,26.46899986
85,0.33692308,0.13904009,0.03544706,0.01866164,19.0369356,53.846708,15.43799996
86,0.43747589,0.14204407,0.03142038,0.01728134,31.99365969,52.339352,20.125
87,0.67141932,0.10369383,0.03124079,0.01239155,58.91956792,53.992048,36.8039999
88,0.31033989,0.14678045,0.06105814,0.01568495,12.8007605,61.807692,15.36599994
89,0.59134579,0.12854186,0.03467071,0.01827123,65.79445977,40.334608,30.421
90,0.44369909,0.12937094,0.06391185,0.01674073,32.72634732,38.77706,20.08299994
91,0.58828804,0.10770562,0.0574959,0.01472156,53.29307415,38.356784,30.27499986
92,0.5005002,0.10975079,0.06697019,0.01593579,41.20535497,35.08318,23.96899986
93,0.34875609,0.14849605,0.06193943,0.01285558,13.93998918,67.504504,17.87600017
94,0.36506679,0.11357662,0.03603139,0.01881346,24.51486881,40.93984,17.43600011
95,0.33790685,0.12646295,0.04850486,0.01749888,18.65179823,45.806616,15.48000002
96,0.33269905,0.13541049,0.05954872,0.01138487,11.44893631,71.712472,17.79099989
97,0.56457809,0.11826744,0.06796281,0.01516379,50.07274528,37.28966,30.52999997
98,0.61466209,0.12005608,0.0479482,0.01009843,39.68689876,62.291216,34.43499994
99,0.51221414,0.11733594,0.06319712,0.01220459,32.88026091,48.169156,26.4139998
100,0.41882383,0.10860174,0.04842818,0.01902962,33.73041889,33.74394,19.75
101,0.60127853,0.1003356,0.048871,0.01582304,60.14964292,36.152632,34.51600003
102,0.40964309,0.12393901,0.04312906,0.01539191,25.40795973,47.919916,21.57800007
103,0.69381092,0.14449776,0.0365705,0.01858015,92.46288945,40.539368,36.82499981
104,0.5205976,0.11429602,0.04869878,0.01425187,39.78331417,44.012312,24.53299999
105,0.42264283,0.13203069,0.062174,0.013333,23.33092712,50.879748,19.52699995
106,0.65833173,0.13743315,0.03238072,0.01540085,68.98298931,50.059732,35.30900002
107,0.61059057,0.13596016,0.06521045,0.01920432,73.68085742,31.7155,30.73900008
108,0.51999074,0.14254823,0.05800288,0.0135443,36.68552712,50.152624,25.92400002
109,0.49979412,0.10108166,0.0315642,0.01793743,46.45323127,38.04298,24.36999989
110,0.32840201,0.11594495,0.03403065,0.01718647,17.56894388,49.128392,15.71700001
111,0.67563971,0.10225479,0.05835751,0.0102438,49.42686097,52.692848,37
112,0.32651519,0.10841924,0.06898763,0.01263093,13.07920905,50.17888,15.4059999
113,0.33867594,0.14097524,0.04729654,0.01117712,11.50483414,81.946544,15.11800003
114,0.55901911,0.13177098,0.0442384,0.01584493,50.57755197,43.807672,26.5860002
115,0.51156996,0.13271974,0.05780675,0.01545684,40.86648988,42.24172,26.07299995
116,0.4745565,0.13785388,0.06553451,0.01188109,26.57699925,55.483024,24.20499992
117,0.63409283,0.14230058,0.04939492,0.01358841,56.11141337,49.96742,37.68199992
118,0.56637635,0.134673,0.03197537,0.01072778,35.0899252,73.486704,31.21999979
119,0.36135094,0.10353779,0.06086814,0.01812509,23.61726472,33.544972,17.28999996
120,0.53024258,0.13241626,0.04449572,0.01956879,55.80466994,36.094504,26.03699994
121,0.46892694,0.1472668,0.0372572,0.01918787,41.13555329,44.279276,21.89699984
122,0.64213188,0.10142063,0.05505714,0.01841524,80.0903785,29.763738,36.773
123,0.58988955,0.1487667,0.06597915,0.01151681,40.64445574,56.059756,32.38000011
124,0.66569889,0.14148651,0.03629881,0.01166538,53.3449433,64.248948,35.27400017
125,0.39532334,0.10737482,0.06010514,0.01157207,18.1876589,52.404972,19.62800002
126,0.38172529,0.13736623,0.038086,0.01632859,22.4238083,53.984004,17.3900001
127,0.41412462,0.1070734,0.05014058,0.01579859,27.39789851,39.870536,20.1099999
128,0.40861654,0.11548658,0.06462557,0.01481253,24.72044392,41.515836,19.8210001
129,0.39787567,0.111106,0.04404924,0.01610289,25.45659264,42.328456,19.61400008
130,0.42190841,0.14963294,0.06530636,0.01772266,29.96094939,42.153896,20.02999997
131,0.5236715,0.12212233,0.05988858,0.01968553,55.29559435,30.912882,25.95500016
132,0.47899414,0.14698702,0.04707828,0.01106264,24.88765164,69.740344,23.94199991
133,0.5850117,0.11236631,0.04637905,0.016022,57.11523877,38.493544,28.72600007
134,0.69582279,0.10187252,0.0395205,0.01649503,84.46388076,37.001552,39.25699997
135,0.69011896,0.14024551,0.03938132,0.01223596,60.38229669,58.924784,37.40299988
136,0.44873015,0.12457758,0.03906921,0.01927261,38.74953331,38.624656,19.77200007
137,0.66116845,0.11416689,0.06859611,0.01405821,64.54529536,38.487712,41.05599999
138,0.4520641,0.14356943,0.05939567,0.01205129,24.01429458,59.551496,20.00300002
139,0.65951625,0.1400577,0.05155053,0.01852935,83.23182384,35.6363,34.98099995
140,0.54063932,0.12191584,0.05912183,0.01280002,38.45532529,47.3404,26.171
141,0.55801768,0.14600796,0.03104191,0.01786803,56.01519726,47.284944,27.29399991
142,0.61570982,0.13329222,0.04557187,0.01986383,77.61187627,34.127296,30.71200013
143,0.52809473,0.10445233,0.03491448,0.0180697,52.34686925,36.745824,26.54500008
144,0.68306329,0.10507658,0.04357207,0.01128038,55.54652134,53.1607,37.00300002
145,0.31430032,0.11628868,0.03335379,0.01784469,16.47786103,49.187304,15.69700003
146,0.42721333,0.1130996,0.03593252,0.01650985,30.31151505,43.92484,19.84599996
147,0.46652915,0.13193557,0.03980066,0.01313745,28.45952106,57.810124,21.80199981
148,0.39319056,0.12468227,0.04946897,0.01325907,19.98733333,54.662784,17.92400002
149,0.548028,0.13119215,0.04600991,0.01966838,60.23712494,34.934288,26.83400011
150,0.3885862,0.12178772,0.04786205,0.01253083,18.49440511,57.42406,19.67500019
151,0.4772696,0.14749828,0.0496211,0.01997795,44.56753563,38.03398,21.79299998
152,0.490026,0.12790304,0.05871727,0.01004421,24.35385816,63.725204,23.89100003
153,0.61640396,0.13824242,0.03849838,0.016722,65.22478488,44.1083,30.74099994
154,0.57457339,0.10129702,0.0584939,0.01110028,38.43541171,49.268848,28.29500008
155,0.63773095,0.10318571,0.03323426,0.01996647,85.45522661,32.874916,32.94200015
156,0.63515557,0.13102394,0.03275583,0.01102011,45.9984183,68.192328,32.68499994
157,0.41913728,0.10692697,0.04926958,0.01061312,18.88548757,59.53862,19.85100007
158,0.63884168,0.12316575,0.04595866,0.01207849,51.31839596,53.222828,34.60399985
159,0.41308611,0.11149184,0.05885421,0.01941242,33.32515611,31.755654,19.4289999
160,0.53154165,0.10659761,0.0692097,0.01195849,35.15527135,45.181528,26.21199989
161,0.47224705,0.14398937,0.06901649,0.01163153,25.53947014,57.744088,22.17599988
162,0.52234691,0.14061882,0.04263903,0.01644815,45.02514138,45.501724,24.10600019
163,0.60856035,0.11943817,0.05679305,0.01951597,75.19780789,30.43016,30.52699995
164,0.50979552,0.12664069,0.04617566,0.01962873,51.79160713,34.733016,24.15199995
165,0.441089,0.12342595,0.04223754,0.01143143,22.18669819,63.244296,19.70799994
166,0.39151957,0.13075613,0.05037228,0.01910382,28.21131943,39.134252,19.66000009
167,0.30487718,0.14521295,0.03312875,0.01190203,9.26772298,102.536568,15.17599988
168,0.48144535,0.11486482,0.03200434,0.01448822,34.2386809,51.015312,21.921
169,0.63939016,0.11914537,0.06839569,0.01855558,79.28395188,29.89974,33.12299991
170,0.61767546,0.14807733,0.03038628,0.01823051,70.83970379,45.824648,34.5
171,0.55108476,0.1393887,0.065716,0.01477784,45.51684076,42.751496,26.51600003
172,0.35871618,0.11979563,0.04004655,0.01267813,15.70111047,61.82524,17.3670001
173,0.55234009,0.12443747,0.03059994,0.01398476,43.76943704,54.46544,26.40199995
174,0.66471428,0.11038481,0.04821689,0.01246468,57.90739345,47.741768,35.10500002
175,0.38771223,0.14909055,0.03813834,0.01397296,19.37733014,68.22628,17.42699981
176,0.59739969,0.11873994,0.05545644,0.0134175,49.76858571,44.527048,34.44499993
177,0.39655412,0.12986114,0.06072598,0.01669972,25.46327465,41.697916,21.31800008
178,0.40211138,0.10538921,0.04073139,0.01456152,23.73791067,46.192128,23.00900006
179,0.46777488,0.14788078,0.05562169,0.0102874,21.95507521,71.964864,26.03600001
180,0.56900444,0.11607323,0.03770457,0.01109786,37.22732446,61.249524,32.44799995
181,0.50379871,0.10791411,0.05646911,0.01361093,35.69878082,42.867212,32.61400008
182,0.36416405,0.11676744,0.04360409,0.01505089,19.40661287,48.911752,21.47300005
